index,Paper Title,Year,Author,Citation,Publisher,Xref-Year,DOI,Authors,References,Type,Outlet,Abstract,Xref-Title,Xref-DOI
493,A Deterministic Algorithm for Arabic Character Recognition Based on Letter Properties,2018,E Abu-Taieh,0,InTech,2018,10.5772/intechopen.76944,"[{""given"": ""Evon"", ""family"": ""Abu-Taieh"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Auhood"", ""family"": ""Alfaries"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Nabeel"", ""family"": ""Zanoon"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Issam H. Al"", ""family"": ""Hadid"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Alia M."", ""family"": ""Abu-Tayeh"", ""sequence"": ""additional"", ""affiliation"": []}]",29,book-chapter,Artificial Intelligence - Emerging Trends and Applications,,a deterministic algorithm for arabic character recognition based on letter properties,10.5772/intechopen.76944
494,A glimpse of mobile text entry errors and corrective behaviour in the wild,2018,A Komninos,13,ACM,2018,10.1145/3236112.3236143,"[{""given"": ""Andreas"", ""family"": ""Komninos"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""University of Patras, Rio, Greece""}]}, {""given"": ""Mark"", ""family"": ""Dunlop"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""University of Strathclyde, Glasgow, UK""}]}, {""given"": ""Kyriakos"", ""family"": ""Katsaris"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Hellenic Open University, Patras, Greece""}]}, {""given"": ""John"", ""family"": ""Garofalakis"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""University of Patras, Rio, Greece""}]}]",12,proceedings-article,Proceedings of the 20th International Conference on Human-Computer Interaction with Mobile Devices and Services Adjunct,,a glimpse of mobile text entry errors and corrective behaviour in the wild,10.1145/3236112.3236143
495,A hindi virtual keyboard interface with multimodal feedback: a case study with a dyslexic child,2018,YK Meena,4,BCS Learning & Development,2018,10.14236/ewic/hci2018.148,"[{""given"": ""Yogesh Kumar"", ""family"": ""Meena"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Anirban"", ""family"": ""Chowdhury"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Ujjwal"", ""family"": ""Sharma"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Hubert"", ""family"": ""Cecotti"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Braj"", ""family"": ""Bhushan"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Ashish"", ""family"": ""Dutta"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Girijesh"", ""family"": ""Prasad"", ""sequence"": ""additional"", ""affiliation"": []}]",22,proceedings-article,Electronic Workshops in Computing,,a hindi virtual keyboard interface with multimodal feedback a case study with a dyslexic child,10.14236/ewic/hci2018.148
496,A Human–Computer Interface Replacing Mouse and Keyboard for Individuals with Limited Upper Limb Mobility,2020,D Gür,0,MDPI AG,2020,10.3390/mti4040084,"[{""ORCID"": ""http://orcid.org/0000-0002-5320-6526"", ""authenticated-orcid"": false, ""given"": ""Diyar"", ""family"": ""G\u00fcr"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Niklas"", ""family"": ""Sch\u00e4fer"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Mario"", ""family"": ""Kupnik"", ""sequence"": ""additional"", ""affiliation"": []}, {""ORCID"": ""http://orcid.org/0000-0001-5703-6029"", ""authenticated-orcid"": false, ""given"": ""Philipp"", ""family"": ""Beckerle"", ""sequence"": ""additional"", ""affiliation"": []}]",45,journal-article,Multimodal Technologies and Interaction,people with physical disabilities in their upper extremities face serious issues in using classical input devices due to lacking movement possibilities and precision this article suggests an alternative input concept and presents corresponding input devices the proposed interface combines an inertial measurement unit and force sensing resistors which can replace mouse and keyboard head motions are mapped to mouse pointer positions while mouse button actions are triggered by contracting mastication muscles the contact pressures of each fingertip are acquired to replace the conventional keyboard to allow for complex text entry the sensory concept is complemented by an ambiguous keyboard layout with ten keys the related word prediction function provides disambiguation at word level haptic feedback is provided to users corresponding to their virtual keystrokes for enhanced closed loop interactions this alternative input system enables text input as well as the emulation of a two button mouse ,a human computer interface replacing mouse and keyboard for individuals with limited upper limb mobility,10.3390/mti4040084
497,A low latency on-body typing system through single vibration sensor,2019,W Chen,6,Institute of Electrical and Electronics Engineers (IEEE),2020,10.1109/tmc.2019.2928549,"[{""ORCID"": ""http://orcid.org/0000-0003-3733-5472"", ""authenticated-orcid"": false, ""given"": ""Wenqiang"", ""family"": ""Chen"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Maoning"", ""family"": ""Guan"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Yandao"", ""family"": ""Huang"", ""sequence"": ""additional"", ""affiliation"": []}, {""ORCID"": ""http://orcid.org/0000-0001-6345-3873"", ""authenticated-orcid"": false, ""given"": ""Lu"", ""family"": ""Wang"", ""sequence"": ""additional"", ""affiliation"": []}, {""ORCID"": ""http://orcid.org/0000-0002-8373-9542"", ""authenticated-orcid"": false, ""given"": ""Rukhsana"", ""family"": ""Ruby"", ""sequence"": ""additional"", ""affiliation"": []}, {""ORCID"": ""http://orcid.org/0000-0002-4076-1811"", ""authenticated-orcid"": false, ""given"": ""Wen"", ""family"": ""Hu"", ""sequence"": ""additional"", ""affiliation"": []}, {""ORCID"": ""http://orcid.org/0000-0003-2216-0737"", ""authenticated-orcid"": false, ""given"": ""Kaishun"", ""family"": ""Wu"", ""sequence"": ""additional"", ""affiliation"": []}]",39,journal-article,IEEE Transactions on Mobile Computing,,a low latency on body typing system through single vibration sensor,10.1109/tmc.2019.2928549
498,A Mechanism of Operation Monitoring for Motor-Impaired Persons in Controlling a PC Through a Mobile Touch-Type Device,2018,S Fukuhara,0,Springer International Publishing,2018,10.1007/978-3-319-93659-8_83,"[{""given"": ""Shoma"", ""family"": ""Fukuhara"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Soichiro"", ""family"": ""Yamasita"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Shigeki"", ""family"": ""Matsubara"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Makoto"", ""family"": ""Nakashima"", ""sequence"": ""additional"", ""affiliation"": []}]",8,book-chapter,Advances in Intelligent Systems and Computing,,a mechanism of operation monitoring for motor impaired persons in controlling a pc through a mobile touch type device,10.1007/978-3-319-93659-8_83
499,A Meta-Analysis of Effect Sizes of CHI Typing Experiments,2021,N Obukhova,1,ACM,2021,10.1145/3411763.3451520,"[{""given"": ""Natalia"", ""family"": ""Obukhova"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Department of Informatics University of Zurich, Switzerland""}]}]",48,proceedings-article,Extended Abstracts of the 2021 CHI Conference on Human Factors in Computing Systems,,a meta analysis of effect sizes of chi typing experiments,10.1145/3411763.3451520
500,A method of character input for the user interface with a low degree of freedom,2019,S Matsuno,4,Springer Science and Business Media LLC,2018,10.1007/s10015-018-0512-4,"[{""given"": ""Shogo"", ""family"": ""Matsuno"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Susumu"", ""family"": ""Chida"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Naoaki"", ""family"": ""Itakura"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Tota"", ""family"": ""Mizuno"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Kazuyuki"", ""family"": ""Mito"", ""sequence"": ""additional"", ""affiliation"": []}]",26,journal-article,Artificial Life and Robotics,,a method of character input for the user interface with a low degree of freedom,10.1007/s10015-018-0512-4
501,A Mobility Evaluation of Tilt Panning and Offset Sensing Smart Watch Input,2019,HM Kim,2,ACM Press,2019,10.1145/3325424.3329665,"[{""given"": ""HongMin"", ""family"": ""Kim"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Ulsan National Institute of Science and Technology, Ulsan, Republic of Korea""}]}, {""given"": ""MyungSung"", ""family"": ""Kim"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Korea Advanced Institute of Science and Technology, Daejeon, Republic of Korea""}]}, {""given"": ""Ian"", ""family"": ""Oakley"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Ulsan National Institute of Science and Technology, Ulsan, Republic of Korea""}]}]",20,proceedings-article,The 5th ACM Workshop on Wearable Systems and Applications  - WearSys '19,,a mobility evaluation of tilt panning and offset sensing smart watch input,10.1145/3325424.3329665
502,A Need-finding Study for Understanding Text Entry in Smartphone App Usage,2021,TJJ Li,1,Institute of Electrical and Electronics Engineers (IEEE),2021,10.1109/tmc.2021.3098664,"[{'given': 'Tong', 'family': 'Li', 'sequence': 'first', 'affiliation': []}, {'given': 'Yali', 'family': 'Fan', 'sequence': 'additional', 'affiliation': []}, {'given': 'Yong', 'family': 'Li', 'sequence': 'additional', 'affiliation': []}, {'given': 'Sasu', 'family': 'Tarkoma', 'sequence': 'additional', 'affiliation': []}, {'given': 'Pan', 'family': 'Hui', 'sequence': 'additional', 'affiliation': []}]",0,journal-article,IEEE Transactions on Mobile Computing,,understanding the long term evolution of mobile app usage,
503,A new PC-based text entry system based on EOG coding,2018,M Yildiz,8,Hindawi Limited,2018,10.1155/2018/8528176,"[{""ORCID"": ""http://orcid.org/0000-0002-2554-6953"", ""authenticated-orcid"": true, ""given"": ""Metin"", ""family"": ""Yildiz"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Department of Biomedical Engineering, Baskent University, Ankara, Turkey""}]}, {""given"": ""Hesna \u00d6zbek"", ""family"": ""\u00dclk\u00fcta\u015f"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Institute of Science and Engineering, Baskent University, Ankara, Turkey""}]}]",26,journal-article,Advances in Human-Computer Interaction,some disadvantages of optical eye tracking systems have increased the interest to eog electrooculography based human computer interaction hci however text entry attempts using eog have been slower than expected because the eyes should move several times for entering a character in order to improve the writing speed and accuracy of eog based text entry a new method based on the coding of eye movements has been suggested in this study in addition a real time eog based hci system has developed to implement the method in our method all characters have been encoded by single saccades in 8 directions and different dwell time in order to standardize dwell times and facilitate the coding process computer assisted voice guidance was used a number of experiments have been conducted to examine the effectiveness of the proposed method and system at the end of the fifth trials an experienced user was able to write at average 13 2 wpm 5 letters 1 word with 100 accuracy using the developed system the results of our experiments have shown that text entry with the eye can be done quickly and efficiently with the proposed method and system ,a new pc based text entry system based on eog coding,10.1155/2018/8528176
504,A Novel Sentence Completion System for Punjabi Using Deep Neural Networks,2022,GS Mahi,0,IGI Global,2022,10.4018/ijsi.293271,"[{""given"": ""Gurjot Singh"", ""family"": ""Mahi"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Punjabi University, Patiala, India""}]}, {""given"": ""Amandeep"", ""family"": ""Verma"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Punjabi University, Patiala, India""}]}]",37,journal-article,International Journal of Software Innovation,sentence completion systems are actively studied by many researchers which ultimately results in the reduction of cognitive effort and enhancement in user experience the review of the literature reveals that most of the work in the said area is in english and limited effort spent on other languages especially vernacular languages this work aims to develop state of the art sentence completion system for the punjabi language which is the 10th most spoken language in the world the presented work is an outcome of the results of the experimentation on various neural network language model combinations a new sentence search algorithm ssa and patching system are developed to search complete and rank the completed sub string and give a syntactically rich sentence s the quantitative and qualitative evaluation metrics were utilized to evaluate the system the results are quite promising and the best performing model is capable of completing a given sub string with more acceptability best performing model is utilized for developing the user interface ,a novel sentence completion system for punjabi using deep neural networks,10.4018/ijsi.293271
505,A one-page text entry method optimized for rectangle smartwatches,2021,R Jang,2,Institute of Electrical and Electronics Engineers (IEEE),2022,10.1109/tmc.2021.3057226,"[{""ORCID"": ""http://orcid.org/0000-0002-3417-6851"", ""authenticated-orcid"": false, ""given"": ""Rhongho"", ""family"": ""Jang"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Department of Computer Science, Wayne State University, Detroit, MI, USA""}]}, {""ORCID"": ""http://orcid.org/0000-0001-6299-1207"", ""authenticated-orcid"": false, ""given"": ""Changhun"", ""family"": ""Jung"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Department of Computer Engineering, Inha University, Incheon, South Korea""}]}, {""ORCID"": ""http://orcid.org/0000-0003-3227-2505"", ""authenticated-orcid"": false, ""given"": ""David"", ""family"": ""Mohaisen"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Department of Computer Science, University of Central Florida, Orlando, FL, USA""}]}, {""given"": ""Kyunghee"", ""family"": ""Lee"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Department of Electrical Engineering, University of Suwon, Suwon, Korea""}]}, {""ORCID"": ""http://orcid.org/0000-0001-5183-891X"", ""authenticated-orcid"": false, ""given"": ""DaeHun"", ""family"": ""Nyang"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Department of Security, Ewha Womans University, Seoul, Korea""}]}]",37,journal-article,IEEE Transactions on Mobile Computing,,a one page text entry method optimized for rectangle smartwatches,10.1109/tmc.2021.3057226
506,A personalized context-aware soft keyboard adapted by random forest trained with additional data of same cluster,2019,SM Jo,1,Elsevier BV,2019,10.1016/j.neucom.2018.05.128,"[{""given"": ""Sang-Muk"", ""family"": ""Jo"", ""sequence"": ""first"", ""affiliation"": []}, {""ORCID"": ""http://orcid.org/0000-0002-0185-1769"", ""authenticated-orcid"": false, ""given"": ""Sung-Bae"", ""family"": ""Cho"", ""sequence"": ""additional"", ""affiliation"": []}]",31,journal-article,Neurocomputing,,a personalized context aware soft keyboard adapted by random forest trained with additional data of same cluster,10.1016/j.neucom.2018.05.128
507,A Pinch-based Text Entry Method for Head-mounted Displays,2022,H Jiang,0,IEEE,2022,10.1109/vrw55335.2022.00174,"[{""given"": ""Haiyan"", ""family"": ""Jiang"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Beijing Engineering Research Center of Mixed Reality and Advanced Display, Beijing Institute of Technology""}]}, {""given"": ""Dongdong"", ""family"": ""Weng"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Beijing Engineering Research Center of Mixed Reality and Advanced Display, Beijing Institute of Technology""}]}, {""given"": ""Xiaonuo"", ""family"": ""Dongye"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Beijing Engineering Research Center of Mixed Reality and Advanced Display, Beijing Institute of Technology""}]}, {""given"": ""Yue"", ""family"": ""Liu"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Beijing Engineering Research Center of Mixed Reality and Advanced Display, Beijing Institute of Technology""}]}]",5,proceedings-article,2022 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),,a pinch based text entry method for head mounted displays,10.1109/vrw55335.2022.00174
508,A Review of Smartphone's Text Entry for Visually Impaired,2018,H Shahid,1,IEEE,2018,10.23919/iconac.2018.8749128,"[{""given"": ""Huniya"", ""family"": ""Shahid"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Munam"", ""family"": ""Ali Shah"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Bilal Khalid"", ""family"": ""Dar"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Fizzah"", ""family"": ""Fizzah"", ""sequence"": ""additional"", ""affiliation"": []}]",40,proceedings-article,2018 24th International Conference on Automation and Computing (ICAC),,a review of smartphone s text entry for visually impaired,10.23919/iconac.2018.8749128
509,A Shortcut for Caret Positioning on Touch-Screen Phones,2019,J Lai,1,ACM,2019,10.1145/3338286.3340146,"[{""given"": ""Jianwei"", ""family"": ""Lai"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""School of IT, Illinois State University, Normal, IL, USA""}]}, {""given"": ""Navid"", ""family"": ""Rajabi"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""School of IT, Illinois State University, Normal, IL, USA""}]}, {""given"": ""Elahe"", ""family"": ""Javadi"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""School of IT, Illinois State University, Normal, IL, USA""}]}]",24,proceedings-article,Proceedings of the 21st International Conference on Human-Computer Interaction with Mobile Devices and Services,,a shortcut for caret positioning on touch screen phones,10.1145/3338286.3340146
510,A Small Virtual Keyboard is Better for Intermittent Text Entry on a Pen-Equipped Tablet,2018,J Gu,1,ACM,2018,10.1145/3279778.3279800,"[{""given"": ""Jiseong"", ""family"": ""Gu"", ""sequence"": ""first"", ""affiliation"": [{""name"": ""Korea Advanced Institute of Science &amp; Technology, Daejeon, Rebublic of Korea""}]}, {""given"": ""Youngbo Aram"", ""family"": ""Shim"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Korea Advanced Institute of Science &amp; Technology, Daejeon, Rebublic of Korea""}]}, {""given"": ""Sunbum"", ""family"": ""Kim"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Korea Advanced Institute of Science &amp; Technology, Daejeon, Rebublic of Korea""}]}, {""given"": ""Geehyuk"", ""family"": ""Lee"", ""sequence"": ""additional"", ""affiliation"": [{""name"": ""Korea Advanced Institute of Science &amp; Technology, Daejeon, Rebublic of Korea""}]}]",19,proceedings-article,Proceedings of the 2018 ACM International Conference on Interactive Surfaces and Spaces,,a small virtual keyboard is better for intermittent text entry on a pen equipped tablet,10.1145/3279778.3279800
511,A Story of Two Surveys: for the Advancement of Sinhalese Mobile Text Entry Research,2020,S Reyal,0,IEEE,2020,10.1109/icac51239.2020.9357307,"[{""given"": ""Shyam"", ""family"": ""Reyal"", ""sequence"": ""first"", ""affiliation"": []}, {""given"": ""Vijani"", ""family"": ""Piyawardana"", ""sequence"": ""additional"", ""affiliation"": []}, {""given"": ""Dilani"", ""family"": ""Kaveendri"", ""sequence"": ""additional"", ""affiliation"": []}]",23,proceedings-article,2020 2nd International Conference on Advancements in Computing (ICAC),,a story of two surveys for the advancement of sinhalese mobile text entry research,10.1109/icac51239.2020.9357307
